Name,Rating,Reviews Count,Category,Address,Phone,Website,Google Maps URL,Latitude,Longitude,Status / Hours,Scraped At (UTC)
Spice Kraft,,,,,,,https://www.google.com/maps/place/Spice+Kraft/data=!4m7!3m6!1s0x3a0276d7a224af41:0x221cffa4c6a35578!8m2!3d22.5263857!4d88.3647894!16s%2Fg%2F11bwkgq3yt!19sChIJQa8kotd2AjoReFWjxqT_HCI?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5263857,88.3647894,,2026-08-30T09:57:55.538711+00:00
Mocambo Restaurant and Bar,,,,,,,https://www.google.com/maps/place/Mocambo+Restaurant+and+Bar/data=!4m7!3m6!1s0x3a02770560e5efc5:0x6c123526196a3c3f!8m2!3d22.5532545!4d88.3531098!16s%2Fg%2F11c1p1qkh9!19sChIJxe_lYAV3AjoRPzxqGSY1Emw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5532545,88.3531098,,2026-08-30T09:57:57.863153+00:00
Grand Market Pavilion,,,,,,,https://www.google.com/maps/place/Grand+Market+Pavilion/data=!4m7!3m6!1s0x3a02776cecd9956f:0xa8fbbe597d280568!8m2!3d22.5442808!4d88.398153!16s%2Fg%2F11hyfywj1s!19sChIJb5XZ7Gx3AjoRaAUofVm--6g?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5442808,88.398153,,2026-08-30T09:58:00.019477+00:00
Vintage Asia,,,,,,,https://www.google.com/maps/place/Vintage+Asia/data=!4m7!3m6!1s0x3a02769c4c4561ad:0x1591d6f1f23d2b09!8m2!3d22.5484339!4d88.3990274!16s%2Fg%2F11c2jy137t!19sChIJrWFFTJx2AjoRCSs98vHWkRU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5484339,88.3990274,,2026-08-30T09:58:02.145494+00:00
Eden Pavilion - ITC Sonar,,,,,,,https://www.google.com/maps/place/Eden+Pavilion+-+ITC+Sonar/data=!4m10!3m9!1s0x3a0276dd2cf216d3:0xbcb93cdc02a9681a!5m2!4m1!1i2!8m2!3d22.5442808!4d88.398153!16s%2Fg%2F1tmbtjq_!19sChIJ0xbyLN12AjoRGmipAtw8ubw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5442808,88.398153,,2026-08-30T09:58:04.302459+00:00
Waterside Cafe,,,,,,,https://www.google.com/maps/place/Waterside+Cafe/data=!4m7!3m6!1s0x3a0275c1513d0b19:0xb3c40336ea2d5c97!8m2!3d22.5706759!4d88.4053301!16s%2Fg%2F1tsbkjyq!19sChIJGQs9UcF1AjoRl1wt6jYDxLM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5706759,88.4053301,,2026-08-30T09:58:06.618006+00:00
Carpe Diem,,,,,,,https://www.google.com/maps/place/Carpe+Diem/data=!4m7!3m6!1s0x3a02770fee367a81:0x1a6d19d1870dab28!8m2!3d22.5522957!4d88.3523414!16s%2Fg%2F11f3w6h3nx!19sChIJgXo27g93AjoRKKsNh9EZbRo?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5522957,88.3523414,,2026-08-30T09:58:09.464866+00:00
Peter Cat,4.2,40538,Bar & grill,"Stephen Court Building, 18 A, Park St, opposite KFC Restaurant, Park Street area, Kolkata, West Bengal 700071",033 2229 8841,https://www.swiggy.com/restaurants/peter-cat-park-street-central-kolkata-kolkata-4483/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve,https://www.google.com/maps/place/Peter+Cat/data=!4m7!3m6!1s0x3a02770ff864051d:0x8a6420fd609c8747!8m2!3d22.5524437!4d88.3525942!16s%2Fg%2F11b64j16cv!19sChIJHQVk-A93AjoRR4ecYP0gZIo?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5524437,88.3525942,Open · Closes 11 pm,2026-08-30T09:58:12.339347+00:00
Alfresco,4.3,1075,Buffet restaurant,"1,2,3, Old Court House Street, Dalhousie Square, Kolkata, West Bengal 700001",033 4444 7777,http://www.thelalit.com/the-lalit-great-eastern-kolkata/dining-en.html#item4,https://www.google.com/maps/place/Alfresco/data=!4m7!3m6!1s0x3a0277a6f2a6ad4d:0x5e8d3767ecb6ce4c!8m2!3d22.5681938!4d88.349928!16s%2Fg%2F11bbt9snrk!19sChIJTa2m8qZ3AjoRTM627Gc3jV4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5681938,88.349928,Open 24 hours,2026-08-30T09:58:15.205198+00:00
The Saffron Tree,4.2,3892,Mughlai restaurant,"100, Raja Basanta Roy Rd, lake Terrace, Kalighat, Kolkata, West Bengal 700029",098312 23311,https://m.facebook.com/thesaffrontree/,https://www.google.com/maps/place/The+Saffron+Tree/data=!4m7!3m6!1s0x3a0271de3fbdb269:0x753e86928d24828!8m2!3d22.5139331!4d88.3535827!16s%2Fg%2F11f5t43g2q!19sChIJabK9P95xAjoRKEjSKGnoUwc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5139331,88.3535827,Open · Closes 11 pm,2026-08-30T09:58:17.787178+00:00
Peshawri -ITC Sonar,4.5,1457,North Indian restaurant,"1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046",033 2345 4545,https://www.itchotels.com/in/en/itcsonar-kolkata,https://www.google.com/maps/place/Peshawri+-ITC+Sonar/data=!4m7!3m6!1s0x3a0276bb95555555:0x4ca0234c087028e3!8m2!3d22.5444909!4d88.398123!16s%2Fg%2F1t_wms40!19sChIJVVVVlbt2AjoR4yhwCEwjoEw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5444909,88.398123,Closed · Opens 7 pm,2026-08-30T09:58:20.171918+00:00
"The Oberoi Grand, Kolkata",4.4,30097,,"15, Jawaharlal Nehru Rd, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700013",011 6911 0606,https://www.oberoihotels.com/hotels-in-kolkata/?utm_source=GMBlisting&utm_medium=organic,"https://www.google.com/maps/place/The+Oberoi+Grand,+Kolkata/data=!4m10!3m9!1s0x3a02771160347adf:0x79dc7210e1ace099!5m2!4m1!1i2!8m2!3d22.5616631!4d88.3513038!16zL20vMDlfNDQ2!19sChIJ33o0YBF3AjoRmeCs4RBy3Hk?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1",22.5616631,88.3513038,,2026-08-30T09:58:22.599989+00:00
The Royal Courtyard,4.4,143,Fine dining restaurant,"1, Shyama Prasad Mukherjee Rd, opp. Purna Cinema, Bakul Bagan, Bhowanipore, Kolkata, West Bengal 700025",081003 31611,https://www.swiggy.com/restaurants/the-royal-courtyard-bhawanipur-south-kolkata-kolkata-227799/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve,https://www.google.com/maps/place/The+Royal+Courtyard/data=!4m7!3m6!1s0x3a02777c81b9f729:0xd3ab4cc66583e9af!8m2!3d22.5289005!4d88.3457017!16s%2Fg%2F11h6yxbbf5!19sChIJKfe5gXx3AjoRr-mDZcZMq9M?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5289005,88.3457017,Open · Closes 11 pm,2026-08-30T09:58:24.986617+00:00
Pepper Town,4.4,1446,Restaurant,"AB-7, Salt Lake Rd, AB Block, Sector 1, Bidhannagar, West Bengal 700064",098305 70165,http://peppertown.dotpe.in/,https://www.google.com/maps/place/Pepper+Town/data=!4m7!3m6!1s0x3a0275487b3dc047:0x46b849e19e9c2caa!8m2!3d22.5927634!4d88.4015855!16s%2Fg%2F11s7z0wj__!19sChIJR8A9e0h1AjoRqiycnuFJuEY?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5927634,88.4015855,Open · Closes 10:30 pm,2026-08-30T09:58:27.470037+00:00
PaPaYa Modern Asian Bistro,4.5,2517,Asian restaurant,"24, Park St, Park Street area, Kolkata, West Bengal 700016",090737 07070,http://www.gopapaya.co.in/,https://www.google.com/maps/place/PaPaYa+Modern+Asian+Bistro/data=!4m7!3m6!1s0x3a02771aadd60823:0x149f27f7b66fa34c!8m2!3d22.5510131!4d88.3532113!16s%2Fg%2F11ggb94s5j!19sChIJIwjWrRp3AjoRTKNvtvcnnxQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5510131,88.3532113,,2026-08-30T09:58:30.132275+00:00
