Name,Rating,Reviews Count,Category,Address,Phone,Website,Google Maps URL,Latitude,Longitude,Status / Hours,Scraped At (UTC)
Emergency Dentist of Austin,,,,,,,https://www.google.com/maps/place/Emergency+Dentist+of+Austin/data=!4m7!3m6!1s0x8644c90a16f876a5:0x791c022b855d1ac9!8m2!3d30.3406789!4d-97.6924276!16s%2Fg%2F11synpwv5g!19sChIJpXb4FgrJRIYRyRpdhSsCHHk?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3406789,-97.6924276,,2026-08-29T16:55:55.638191+00:00
ATX Family Dental,4.9,,Dentist,"1700 S 1st St, Austin, TX 78704, United States",+1 512-717-3147,https://www.atxfamilydental.com/,https://www.google.com/maps/place/ATX+Family+Dental/data=!4m7!3m6!1s0x8644b4eb0b01986f:0x6b241d4769ed491e!8m2!3d30.2482229!4d-97.7559705!16s%2Fg%2F11cn2mvqwc!19sChIJb5gBC-u0RIYRHkntaUcdJGs?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.2482229,-97.7559705,Closed · Opens 8 am Mon,2026-08-29T16:55:58.369484+00:00
Austin Dental Works,4.9,,Dentist,"4601 N Lamar Blvd #503, Austin, TX 78751, United States",+1 512-877-9822,https://www.austindentalworks.com/,https://www.google.com/maps/place/Austin+Dental+Works/data=!4m7!3m6!1s0x8644ca638c284765:0x76576315d12cc3cd!8m2!3d30.3150192!4d-97.7355807!16s%2Fg%2F1tjdrqpm!19sChIJZUcojGPKRIYRzcMs0RVjV3Y?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3150192,-97.7355807,Closed · Opens 8 am Mon,2026-08-29T16:56:00.626596+00:00
Ideal Dental Central Austin,4.6,,Dentist,"3500 Jefferson St #106, Austin, TX 78731, United States",+1 512-451-0101,https://www.myidealdental.com/central-austin?utm_source=gbp&utm_medium=organic&utm_campaign=website,https://www.google.com/maps/place/Ideal+Dental+Central+Austin/data=!4m7!3m6!1s0x8644ca877003d2bd:0x75cd2f17bbc7132a!8m2!3d30.3080989!4d-97.7520958!16s%2Fg%2F1td72cyz!19sChIJvdIDcIfKRIYRKhPHuxcvzXU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3080989,-97.7520958,Open · Closes 3 pm,2026-08-29T16:56:02.851613+00:00
Austin Lifetime Dental,4.9,,Dentist,"2206 W Parmer Ln, Austin, TX 78727, United States",+1 512-835-1924,https://www.lifetimedental.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,https://www.google.com/maps/place/Austin+Lifetime+Dental/data=!4m7!3m6!1s0x8644cc20724ee6f5:0x2ae9fa2c2bf15149!8m2!3d30.4176901!4d-97.6988203!16s%2Fg%2F1tfv5j4n!19sChIJ9eZOciDMRIYRSVHxKyz66So?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.4176901,-97.6988203,Closed · Opens 7:30 am Mon,2026-08-29T16:56:05.019487+00:00
Tech Ridge Dental,5.0,,Dentist,"12400 N Interstate Hwy 35 Ste A131, Austin, TX 78753, United States",+1 512-821-2394,http://www.techridgedental.com/,https://www.google.com/maps/place/Tech+Ridge+Dental/data=!4m7!3m6!1s0x8644cec83277a683:0x1cb46784938f1d66!8m2!3d30.4043561!4d-97.6759803!16s%2Fg%2F1xfsp3vb!19sChIJg6Z3MsjORIYRZh2Pk4RntBw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.4043561,-97.6759803,Closed · Opens 7:30 am Mon,2026-08-29T16:56:07.223008+00:00
38th Street Dental,5.0,,Dentist,"1500 W 38th St Ste 56, Austin, TX 78731, United States",+1 737-260-5523,https://www.myaustindds.com/,https://www.google.com/maps/place/38th+Street+Dental/data=!4m7!3m6!1s0x8644ca85bdec977b:0x64b79ab05c176ac2!8m2!3d30.3082289!4d-97.7487691!16s%2Fg%2F11rpdzc4s!19sChIJe5fsvYXKRIYRwmoXXLCat2Q?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3082289,-97.7487691,Closed · Opens 7:30 am Mon,2026-08-29T16:56:09.501880+00:00
Breeze Dental,4.8,,Dentist,"1601 S Lamar Blvd, Austin, TX 78704, United States",+1 512-745-8825,https://www.breezeoralcare.com/,https://www.google.com/maps/place/Breeze+Dental/data=!4m7!3m6!1s0x8644b4df8ca136ad:0xb8adae0e500a1372!8m2!3d30.2512668!4d-97.764823!16s%2Fg%2F11gtyt3hnm!19sChIJrTahjN-0RIYRchMKUA6urbg?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.2512668,-97.764823,Closed · Opens 7 am Mon,2026-08-29T16:56:11.732910+00:00
Lady Bird Dental,4.9,,Cosmetic dentist,"3115 S Lamar Blvd, Austin, TX 78704, United States",+1 512-812-0036,https://ladybirddental.com/,https://www.google.com/maps/place/Lady+Bird+Dental/data=!4m7!3m6!1s0x8644b5e00133a11d:0xae4beb39d04cd4c5!8m2!3d30.2415391!4d-97.784855!16s%2Fg%2F11gjsr04yf!19sChIJHaEzAeC1RIYRxdRM0DnrS64?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.2415391,-97.784855,Open · Closes 4 pm,2026-08-29T16:56:13.996394+00:00
North Austin Dentistry,4.9,,Dentist,"6850 Austin Center Blvd #310, Austin, TX 78731, United States",+1 512-489-9933,https://northaustindentist.com/,https://www.google.com/maps/place/North+Austin+Dentistry/data=!4m7!3m6!1s0x8644cb02d907f651:0xc60d3afe2ceaaff5!8m2!3d30.3517638!4d-97.7526933!16s%2Fg%2F1td33flx!19sChIJUfYH2QLLRIYR9a_qLP46DcY?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3517638,-97.7526933,Open · Closes 3 pm,2026-08-29T16:56:16.374986+00:00
