Name,Rating,Reviews Count,Category,Address,Phone,Website,Google Maps URL,Latitude,Longitude,Status / Hours,Scraped At (UTC)
Define Dentistry of Austin,,,Dentist,"8745 North Lamar Boulevard, Austin, TX 78753-5423",(512) 832-6395,,https://www.google.com/maps/place/Define+Dentistry+of+Austin/data=!4m7!3m6!1s0x8644cbf561c367db:0xb1b961796746b7a0!8m2!3d30.35615!4d-97.70119!16s%2Fg%2F11y_py72tq!19sChIJ22fDYfXLRIYRoLdGZ3lhubE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.35615,-97.70119,Open · Closes 6 pm,2026-08-29T16:56:46.269161+00:00
Emergency Dentist of Austin,4.8,,Dentist,"1030 Norwood Park Blvd #324, Austin, TX 78753, United States",+1 512-961-6200,https://emergencydentistofaustin.com/,https://www.google.com/maps/place/Emergency+Dentist+of+Austin/data=!4m7!3m6!1s0x8644c90a16f876a5:0x791c022b855d1ac9!8m2!3d30.3406789!4d-97.6924276!16s%2Fg%2F11synpwv5g!19sChIJpXb4FgrJRIYRyRpdhSsCHHk?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3406789,-97.6924276,Open · Closes 8 pm,2026-08-29T16:56:48.684928+00:00
ATX Family Dental,4.9,,Dentist,"1700 S 1st St, Austin, TX 78704, United States",+1 512-717-3147,https://www.atxfamilydental.com/,https://www.google.com/maps/place/ATX+Family+Dental/data=!4m7!3m6!1s0x8644b4eb0b01986f:0x6b241d4769ed491e!8m2!3d30.2482229!4d-97.7559705!16s%2Fg%2F11cn2mvqwc!19sChIJb5gBC-u0RIYRHkntaUcdJGs?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.2482229,-97.7559705,Closed · Opens 8 am Mon,2026-08-29T16:56:50.918572+00:00
Austin Dental Works,4.9,,Dentist,"4601 N Lamar Blvd #503, Austin, TX 78751, United States",+1 512-877-9822,https://www.austindentalworks.com/,https://www.google.com/maps/place/Austin+Dental+Works/data=!4m7!3m6!1s0x8644ca638c284765:0x76576315d12cc3cd!8m2!3d30.3150192!4d-97.7355807!16s%2Fg%2F1tjdrqpm!19sChIJZUcojGPKRIYRzcMs0RVjV3Y?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3150192,-97.7355807,Closed · Opens 8 am Mon,2026-08-29T16:56:53.221984+00:00
Ideal Dental Central Austin,4.6,,Dentist,"3500 Jefferson St #106, Austin, TX 78731, United States",+1 512-451-0101,https://www.myidealdental.com/central-austin?utm_source=gbp&utm_medium=organic&utm_campaign=website,https://www.google.com/maps/place/Ideal+Dental+Central+Austin/data=!4m7!3m6!1s0x8644ca877003d2bd:0x75cd2f17bbc7132a!8m2!3d30.3080989!4d-97.7520958!16s%2Fg%2F1td72cyz!19sChIJvdIDcIfKRIYRKhPHuxcvzXU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3080989,-97.7520958,Open · Closes 3 pm,2026-08-29T16:56:55.575039+00:00
Ideal Dental Central Austin,4.6,,Dentist,"3500 Jefferson St #106, Austin, TX 78731, United States",+1 512-451-0101,https://www.myidealdental.com/central-austin?utm_source=gbp&utm_medium=organic&utm_campaign=website,https://www.google.com/maps/place/Austin+Lifetime+Dental/data=!4m7!3m6!1s0x8644cc20724ee6f5:0x2ae9fa2c2bf15149!8m2!3d30.4176901!4d-97.6988203!16s%2Fg%2F1tfv5j4n!19sChIJ9eZOciDMRIYRSVHxKyz66So?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.4176901,-97.6988203,Open · Closes 3 pm,2026-08-29T16:56:57.693693+00:00
Tech Ridge Dental,5.0,,Dentist,"12400 N Interstate Hwy 35 Ste A131, Austin, TX 78753, United States",+1 512-821-2394,http://www.techridgedental.com/,https://www.google.com/maps/place/Tech+Ridge+Dental/data=!4m7!3m6!1s0x8644cec83277a683:0x1cb46784938f1d66!8m2!3d30.4043561!4d-97.6759803!16s%2Fg%2F1xfsp3vb!19sChIJg6Z3MsjORIYRZh2Pk4RntBw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.4043561,-97.6759803,Closed · Opens 7:30 am Mon,2026-08-29T16:56:59.876085+00:00
38th Street Dental,5.0,,Dentist,"1500 W 38th St Ste 56, Austin, TX 78731, United States",+1 737-260-5523,https://www.myaustindds.com/,https://www.google.com/maps/place/38th+Street+Dental/data=!4m7!3m6!1s0x8644ca85bdec977b:0x64b79ab05c176ac2!8m2!3d30.3082289!4d-97.7487691!16s%2Fg%2F11rpdzc4s!19sChIJe5fsvYXKRIYRwmoXXLCat2Q?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.3082289,-97.7487691,Closed · Opens 7:30 am Mon,2026-08-29T16:57:02.254351+00:00
Breeze Dental,4.8,,Dentist,"1601 S Lamar Blvd, Austin, TX 78704, United States",+1 512-745-8825,https://www.breezeoralcare.com/,https://www.google.com/maps/place/Breeze+Dental/data=!4m7!3m6!1s0x8644b4df8ca136ad:0xb8adae0e500a1372!8m2!3d30.2512668!4d-97.764823!16s%2Fg%2F11gtyt3hnm!19sChIJrTahjN-0RIYRchMKUA6urbg?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.2512668,-97.764823,Closed · Opens 7 am Mon,2026-08-29T16:57:04.384615+00:00
Lady Bird Dental,4.9,,Cosmetic dentist,"3115 S Lamar Blvd, Austin, TX 78704, United States",+1 512-812-0036,https://ladybirddental.com/,https://www.google.com/maps/place/Lady+Bird+Dental/data=!4m7!3m6!1s0x8644b5e00133a11d:0xae4beb39d04cd4c5!8m2!3d30.2415391!4d-97.784855!16s%2Fg%2F11gjsr04yf!19sChIJHaEzAeC1RIYRxdRM0DnrS64?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,30.2415391,-97.784855,Open · Closes 4 pm,2026-08-29T16:57:06.579752+00:00
