Name,Rating,Reviews Count,Category,Address,Phone,Website,Google Maps URL,Latitude,Longitude,Status / Hours,Scraped At (UTC)
"Wordsmith Realty | Real Estate Consultant Kolkata, Howrah",,,,,,,"https://www.google.com/maps/place/Wordsmith+Realty+%7C+Real+Estate+Consultant+Kolkata,+Howrah/data=!4m7!3m6!1s0x39f89d7cf0cc95ab:0x906c45113a097469!8m2!3d22.6161127!4d88.355759!16s%2Fg%2F11thwl0tvv!19sChIJq5XM8Hyd-DkRaXQJOhFFbJA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1",22.6161127,88.355759,,2026-08-30T09:53:22.653409+00:00
GPG MANAGEMENT SERVICES PVT. LTD | Real Estate Agents Howrah,,,,,,,https://www.google.com/maps/place/GPG+MANAGEMENT+SERVICES+PVT.+LTD+%7C+Real+Estate+Agents+Howrah/data=!4m7!3m6!1s0x3a02778ebce3aaab:0xb72ff3aeb8b4f6ac!8m2!3d22.5805225!4d88.3298096!16s%2Fg%2F11sb4_k4mh!19sChIJq6rjvI53AjoRrPa0uK7zL7c?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5805225,88.3298096,,2026-08-30T09:53:24.855559+00:00
INLAND ENTERPRISE REALTY,,,,,,,https://www.google.com/maps/place/INLAND+ENTERPRISE+REALTY/data=!4m7!3m6!1s0x632f8bae6bc958d1:0x635bd2980fb875a0!8m2!3d22.6244647!4d88.3551001!16s%2Fg%2F11x1tn0bkj!19sChIJ0VjJa66LL2MRoHW4D5jSW2M?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6244647,88.3551001,,2026-08-30T09:53:27.377913+00:00
Solanki Construction & Developer,,,,,,,https://www.google.com/maps/place/Solanki+Construction+%26+Developer/data=!4m7!3m6!1s0x3a0279d952e93283:0xe6d1d11f74b68867!8m2!3d22.580235!4d88.3111374!16s%2Fg%2F11yyfcskj3!19sChIJgzLpUtl5AjoRZ4i2dB_R0eY?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.580235,88.3111374,,2026-08-30T09:53:29.610508+00:00
Master Realtors,,,,,,,https://www.google.com/maps/place/Master+Realtors/data=!4m7!3m6!1s0x3a02798365d05f15:0x17a1182eb2fc3514!8m2!3d22.5715361!4d88.3064318!16s%2Fg%2F11stvct1w5!19sChIJFV_QZYN5AjoRFDX8si4YoRc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5715361,88.3064318,,2026-08-30T09:53:32.028351+00:00
Dazzle Space,,,,,,,https://www.google.com/maps/place/Dazzle+Space/data=!4m7!3m6!1s0x395e8580de289a01:0x6062c0b321cd806c!8m2!3d22.6398215!4d88.222964!16s%2Fg%2F11r4cwfrxv!19sChIJAZoo3oCFXjkRbIDNIbPAYmA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6398215,88.222964,,2026-08-30T09:53:34.192872+00:00
SAI RAM REAL ESTATE,,,,,,,https://www.google.com/maps/place/SAI+RAM+REAL+ESTATE/data=!4m7!3m6!1s0x39f89d29f3d28c4f:0xf70b6bc2fb0ff928!8m2!3d22.6565855!4d88.334454!16s%2Fg%2F11k4zrqj27!19sChIJT4zS8ymd-DkRKPkP-8JrC_c?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6565855,88.334454,,2026-08-30T09:53:36.331370+00:00
Flat4sale Proptech Private Limited,,,,,,,https://www.google.com/maps/place/Flat4sale+Proptech+Private+Limited/data=!4m7!3m6!1s0x3a02793e93910c13:0x94a03142a7f64fff!8m2!3d22.589352!4d88.3097131!16s%2Fg%2F11yq16qgyz!19sChIJEwyRkz55AjoR_0_2p0IxoJQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.589352,88.3097131,,2026-08-30T09:53:38.501131+00:00
Choudhary and Mishra Real Estate,,,,,,,https://www.google.com/maps/place/Choudhary+and+Mishra+Real+Estate/data=!4m7!3m6!1s0x3a0277fec6c5723f:0x184411a8c52a6922!8m2!3d22.5862052!4d88.3339096!16s%2Fg%2F11vdjl2wcg!19sChIJP3LFxv53AjoRImkqxagRRBg?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5862052,88.3339096,,2026-08-30T09:53:40.735534+00:00
Howrah realty,,,,,,,https://www.google.com/maps/place/Howrah+realty/data=!4m7!3m6!1s0x3a0279c54d608b9f:0x441f33d7e7a63813!8m2!3d22.5755334!4d88.302044!16s%2Fg%2F11n533wlck!19sChIJn4tgTcV5AjoREzim59czH0Q?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5755334,88.302044,,2026-08-30T09:53:42.892808+00:00
Riddhi Realtors - Real Estate Agency Kolkata,,,,,,,https://www.google.com/maps/place/Riddhi+Realtors+-+Real+Estate+Agency+Kolkata/data=!4m7!3m6!1s0xf34c67cf97cc93b:0x3506b89945dca725!8m2!3d22.3916348!4d88.3277241!16s%2Fg%2F11vctvl8fv!19sChIJO8l8-XzGNA8RJafcRZm4BjU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.3916348,88.3277241,,2026-08-30T09:53:45.254737+00:00
Sree Realtors,,,Real estate agent,"Nabin Senapati Ln, Naora, Shibpur, Howrah, West Bengal 711101",,,https://www.google.com/maps/place/Sree+Realtors/data=!4m7!3m6!1s0x3a0279265ecf0ff1:0x3cecfdb239c9d2c1!8m2!3d22.5793674!4d88.3200495!16s%2Fg%2F11zgqfwfn0!19sChIJ8Q_PXiZ5AjoRwdLJObL97Dw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5793674,88.3200495,Open · Closes 9 pm,2026-08-30T09:53:47.982710+00:00
